glyph name;code points
.notdef;
A;U+0041
AE;U+00C6
AEacute;U+01FC
Aacute;U+00C1
Abreve;U+0102
Abreveacute;U+1EAE
Abrevedotbelow;U+1EB6
Abrevedotbelow.ss03;
Abrevegrave;U+1EB0
Abrevehookabove;U+1EB2
Abrevetilde;U+1EB4
Acaron;U+01CD
Acircumflex;U+00C2
Acircumflexacute;U+1EA4
Acircumflexdotbelow;U+1EAC
Acircumflexdotbelow.ss03;
Acircumflexgrave;U+1EA6
Acircumflexhookabove;U+1EA8
Acircumflextilde;U+1EAA
Adieresis;U+00C4
Adieresis.ss03;
Adotbelow;U+1EA0
Adotbelow.ss03;
Agrave;U+00C0
Ahookabove;U+1EA2
Amacron;U+0100
Aogonek;U+0104
Aring;U+00C5
Aringacute;U+01FA
Atilde;U+00C3
B;U+0042
C;U+0043
Cacute;U+0106
Ccaron;U+010C
Ccedilla;U+00C7
Ccircumflex;U+0108
Cdotaccent;U+010A
Cdotaccent.ss03;
D;U+0044
Dcaron;U+010E
Dcroat;U+0110
Delta;U+0394
E;U+0045
E-cy;U+0404
Eacute;U+00C9
Ebreve;U+0114
Ecaron;U+011A
Ecircumflex;U+00CA
Ecircumflexacute;U+1EBE
Ecircumflexdotbelow;U+1EC6
Ecircumflexdotbelow.ss03;
Ecircumflexgrave;U+1EC0
Ecircumflexhookabove;U+1EC2
Ecircumflextilde;U+1EC4
Edieresis;U+00CB
Edieresis.ss03;
Edotaccent;U+0116
Edotaccent.ss03;
Edotbelow;U+1EB8
Edotbelow.ss03;
Egrave;U+00C8
Ehookabove;U+1EBA
Emacron;U+0112
Eng;U+014A
Eogonek;U+0118
Ereversed-cy;U+042D
Eth;U+00D0
Etilde;U+1EBC
F;U+0046
G;U+0047
Gbreve;U+011E
Gcaron;U+01E6
Gcircumflex;U+011C
Gcommaaccent;U+0122
Gdotaccent;U+0120
Gdotaccent.ss03;
Germandbls;U+1E9E
Gmacron;U+1E20
H;U+0048
Hbar;U+0126
Hcircumflex;U+0124
I;U+0049
IJ;U+0132
IJacute;
Iacute;U+00CD
Ibreve;U+012C
Icaron;U+01CF
Icircumflex;U+00CE
Idieresis;U+00CF
Idieresis.ss03;
Idotaccent;U+0130
Idotbelow;U+1ECA
Idotbelow.ss03;
Ie-cy;U+0415
Igrave;U+00CC
Ihookabove;U+1EC8
Imacron;U+012A
Io-cy;U+0401
Iogonek;U+012E
Itilde;U+0128
J;U+004A
Jacute;
Jcircumflex;U+0134
K;U+004B
Kcommaaccent;U+0136
L;U+004C
Lacute;U+0139
Lcaron;U+013D
Lcommaaccent;U+013B
Lcommaaccent.loclMAH;
Ldot;U+013F
Ldot.ss03;
Lslash;U+0141
M;U+004D
N;U+004E
Nacute;U+0143
Ncaron;U+0147
Ncommaaccent;U+0145
Ncommaaccent.loclMAH;
Ndotaccent;U+1E44
Ndotaccent.ss03;
Nhookleft;U+019D
Ntilde;U+00D1
O;U+004F
OE;U+0152
Oacute;U+00D3
Obreve;U+014E
Ocaron;U+01D1
Ocircumflex;U+00D4
Ocircumflexacute;U+1ED0
Ocircumflexdotbelow;U+1ED8
Ocircumflexdotbelow.ss03;
Ocircumflexgrave;U+1ED2
Ocircumflexhookabove;U+1ED4
Ocircumflextilde;U+1ED6
Odieresis;U+00D6
Odieresis.ss03;
Odotbelow;U+1ECC
Odotbelow.ss03;
Ograve;U+00D2
Ohm;U+2126
Ohookabove;U+1ECE
Ohorn;U+01A0
Ohornacute;U+1EDA
Ohorndotbelow;U+1EE2
Ohorndotbelow.ss03;
Ohorngrave;U+1EDC
Ohornhookabove;U+1EDE
Ohorntilde;U+1EE0
Ohungarumlaut;U+0150
Omacron;U+014C
Omega;U+03A9
Oogonek;U+01EA
Oslash;U+00D8
Oslashacute;U+01FE
Otilde;U+00D5
P;U+0050
Q;U+0051
R;U+0052
Racute;U+0154
Rcaron;U+0158
Rcommaaccent;U+0156
S;U+0053
Sacute;U+015A
Scaron;U+0160
Scedilla;U+015E
Schwa;U+018F
Scircumflex;U+015C
Scommaaccent;U+0218
T;U+0054
T_h;
Tbar;U+0166
Tcaron;U+0164
Tcedilla;U+0162
Tcommaaccent;U+021A
Thorn;U+00DE
U;U+0055
Uacute;U+00DA
Ubreve;U+016C
Ucaron;U+01D3
Ucircumflex;U+00DB
Udieresis;U+00DC
Udieresis.ss03;
Udotbelow;U+1EE4
Udotbelow.ss03;
Ugrave;U+00D9
Uhookabove;U+1EE6
Uhorn;U+01AF
Uhornacute;U+1EE8
Uhorndotbelow;U+1EF0
Uhorndotbelow.ss03;
Uhorngrave;U+1EEA
Uhornhookabove;U+1EEC
Uhorntilde;U+1EEE
Uhungarumlaut;U+0170
Umacron;U+016A
Uogonek;U+0172
Uring;U+016E
Utilde;U+0168
V;U+0056
W;U+0057
Wacute;U+1E82
Wcircumflex;U+0174
Wdieresis;U+1E84
Wdieresis.ss03;
Wgrave;U+1E80
X;U+0058
Y;U+0059
Yacute;U+00DD
Ycircumflex;U+0176
Ydieresis;U+0178
Ydieresis.ss03;
Ydotbelow;U+1EF4
Ydotbelow.ss03;
Ygrave;U+1EF2
Yhookabove;U+1EF6
Ymacron;U+0232
Ytilde;U+1EF8
Z;U+005A
Zacute;U+0179
Zcaron;U+017D
Zdotaccent;U+017B
Zdotaccent.ss03;
a;U+0061
a-cy;U+0430
aacute;U+00E1
abreve;U+0103
